CAS_Reg,Param,ParamGroup,USGSPCode
NULL,NULL,NULL,NULL
NULL,NULL,NULL,:Mispour
NULL,NULL,NULL,"ANCF=""H13"""""""
NULL,NULL,NULL,"ANCF=""H252"""""""
NULL,NULL,NULL,"ANCF=""H9"""""""
NULL,NULL,NULL,"CAF=""H200"""""""
NULL,NULL,NULL,"CAF=""H245"""""""
NULL,NULL,NULL,"CAF=""H248"""""""
NULL,NULL,NULL,"CLF=""H12"""""""
NULL,NULL,NULL,"CLF=""H13"""""""
NULL,NULL,NULL,"CLF=""H14"""""""
NULL,NULL,NULL,"CLF=""H36"""""""
NULL,NULL,NULL,"CLF=""H9"""""""
NULL,NULL,NULL,Colorado District Laboratory #333
NULL,NULL,NULL,"COLORF=""H4"""""""
NULL,NULL,NULL,"COLORF=""H5"""""""
NULL,NULL,NULL,"COLORF=""H8"""""""
NULL,NULL,NULL,"CONDF=""H13"""""""
NULL,NULL,NULL,"CONDF=""H9"""""""
NULL,NULL,NULL,"DICF=""H169"""""""
NULL,NULL,NULL,"DICF=""H4"""""""
NULL,NULL,NULL,"DICF=""H5"""""""
NULL,NULL,NULL,"DICF=""H7"""""""
NULL,NULL,NULL,"DOCF=""H15"""""""
NULL,NULL,NULL,"DOCF=""H16"""""""
NULL,NULL,NULL,"DOCF=""H78"""""""
NULL,NULL,NULL,"Initial result and rerun result within acceptable "
NULL,NULL,NULL,"KF=""H211"""""""
NULL,NULL,NULL,"KF=""H223"""""""
NULL,NULL,NULL,"KF=""H230"""""""
NULL,NULL,NULL,"MGF=""H218"""""""
NULL,NULL,NULL,"MGF=""H225"""""""
NULL,NULL,NULL,"MGF=""H239"""""""
NULL,NULL,NULL,"NAF=""H184"""""""
NULL,NULL,NULL,"NAF=""H216"""""""
NULL,NULL,NULL,"NAF=""H222"""""""
NULL,NULL,NULL,"NAF=""H227"""""""
NULL,NULL,NULL,"NH4F=""H30"""""""
NULL,NULL,NULL,"NO3F=""H14"""""""
NULL,NULL,NULL,"NO3F=""H27"""""""
NULL,NULL,NULL,"NO3F=""H9"""""""
NULL,NULL,NULL,"NTLF=""H35"""""""
NULL,NULL,NULL,"NTLF=""H57"""""""
NULL,NULL,NULL,"PHSTVLF=""H4"""""""
NULL,NULL,NULL,"PHSTVLF=""H5"""""""
NULL,NULL,NULL,"PHSTVLF=""H7"""""""
NULL,NULL,NULL,"PTLF=""H35"""""""
NULL,NULL,NULL,"PTLF=""H57"""""""
NULL,NULL,NULL,Rerun and original results agree within LRL for LC
NULL,NULL,NULL,"SEF=""H197"""""""
