Param,ParamGroup,USGSPCode,CAS_Reg
(+/-)11-nor-9-carboxy-delta-THC,,,
"(1R,2S,5R)-Menthol",,,
".alpha.,.alpha.-Dimethylphenethylamine","Organics, other",,122-09-8
.alpha.-Endosulfan,"Organics, pesticide",,959-98-8
.alpha.-Hexachlorocyclohexane,"Organics, pesticide",,319-84-6
.beta.-Endosulfan,"Organics, pesticide",,33213-65-9
.beta.-Hexachlorocyclohexane,"Organics, pesticide",,319-85-7
.delta.-Hexachlorocyclohexane,"Organics, pesticide",,319-86-8
.lambda.-Cyhalothrin,"Organics, pesticide",61595,91465-08-6
1-(Aminomethyl)cyclohexaneacetic acid,,,
"1,1,1,2-Tetrachloroethane","Organics, other",,630-20-6
"1,1,1,2-tetrachloroethane","Organics, other",,630-20-6
"1,1,1-Trichloro-2-propanone","Organics, other",,918-00-3
"1,1,1-Trichloroethane","Organics, other",,71-55-6
"1,1,1-trichloroethane","Organics, other",,71-55-6
"1,1,2,2-Tetrachloroethane","Organics, other",,79-34-5
"1,1,2,2-tetrachloroethane","Organics, other",,79-34-5
"1,1,2-Trichloroethane","Organics, other",,79-00-5
"1,1,2-trichloroethane","Organics, other",,79-00-5
"1,1-Dichloroethane","Organics, other",,75-34-3
"1,1-dichloroethane","Organics, other",,75-34-3
"1,1-Dichloroethylene",Toxicity,,75-35-4
"1,1-dichloroethylene",Toxicity,,75-35-4
"1,1-Dichloropropene","Organics, other",,563-58-6
"1,1-dichloropropene","Organics, other",,563-58-6
"1,1-Dimethylbiguanide",,,
"1,2,3,4-Tetramethylbenzene","Organics, other",49999,488-23-3
"1,2,3,5-Tetramethylbenzene","Organics, other",50000,527-53-7
"1,2,3-Trichlorobenzene","Organics, other",,87-61-6
"1,2,3-trichlorobenzene","Organics, other",,87-61-6
"1,2,3-Trichloropropane","Organics, pesticide",,96-18-4
"1,2,3-trichloropropane","Organics, pesticide",,96-18-4
"1,2,3-Trimethylbenzene","Organics, other",77221,526-73-8
"1,2,4,5-Tetrachlorobenzene","Organics, other",,95-94-3
"1,2,4-Trichlorobenzene","Organics, other",,120-82-1
