Param,ParamGroup
"1,1,2-trichloroethane","organics, other"
monochloroacetic acid,NULL
nitrite,nutrient
"trans-1,2-dichloroethylene","organics, other"
combined radium (-226 & -228),NULL
pentachlorophenol,NULL
"trans-1,3-dichloropropene","organics, pesticide"
nitrate,nutrient
o-chlorotoluene,"organics, other"
"1,2-dichloropropane","organics, pesticide"
carbaryl,"organics, pesticide"
hexachlorobutadiene,"organics, other"
dichloromethane,"organics, other"
bromomethane,"organics, pesticide"
magnesium,"inorganics, major, metals"
"cis-1,3-dichloropropene","organics, pesticide"
aroclor 1232,NULL
e. coli,NULL
endothall,"organics, pesticide"
endrin,"organics, pesticide"
gamma-chlordane,NULL
trichlorofluoromethane,"organics, other"
aldicarb sulfoxide,"organics, pesticide"
bromochloromethane,NULL
zinc,"inorganics, minor, metals"
"1,1,1,2-tetrachloroethane",NULL
foaming agents (surfactants),NULL
butachlor,"organics, pesticide"
monobromoacetic acid,NULL
aroclor 1248,NULL
metribuzin,"organics, pesticide"
cyanide,"inorganics, minor, non-metals"
heptachlor epoxide,"organics, pesticide"
n-butylbenzene,"organics, other"
total polychlorinated biphenyls (pcb),"organics, pcbs"
potassium,"inorganics, major, metals"
"1,1,1-trichloroethane","organics, other"
coliform (tcr),NULL
benzene,"organics, other"
isopropylbenzene,"organics, other"
Charge Balance,NULL
trichloroacetic acid,"organics, other"
"1,1-dichloroethane","organics, other"
turbidity,NULL
nitrate-nitrite,nutrient
lasso,"organics, pesticide"
oxamyl,"organics, pesticide"
lead,"inorganics, minor, metals"
heptachlor,"organics, pesticide"
"molybdenum, total","inorganics, minor, metals"
barium,"inorganics, minor, metals"
silver,"inorganics, minor, metals"
"antimony, total","inorganics, minor, non-metals"
chloromethane,"organics, other"
carbon dioxide,"inorganics, major, non-metals"
chloroethane,"organics, other"
dibromoacetic acid,NULL
asbestos,"inorganics, minor, non-metals"
nitrogen-ammonia as (n),nutrient
"alkalinity, carbonate","inorganics, major, non-metals"
"alkalinity, total","inorganics, major, non-metals"
atrazine,"organics, pesticide"
n-propylbenzene,"organics, other"
uv absorbance @254 nm,NULL
Anions Total,NULL
bromobenzene,"organics, other"
selenium,"inorganics, minor, non-metals"
dichloroacetic acid,"organics, other"
conductivity @ 25 c umhos/cm,NULL
"copper, free","inorganics, minor, metals"
"1,1-dichloroethylene","organics, other"
vinyl chloride,"organics, other"
dichlorodifluoromethane,"organics, other"
radon,NULL
diquat,NULL
aroclor 1254,NULL
dibromochloromethane,"organics, other"
"chromium, hex","inorganics, minor, metals"
sec-butylbenzene,"organics, other"
iron,"inorganics, minor, metals"
fluoride,"inorganics, major, non-metals"
"1,3-dichloropropene","organics, pesticide"
calcium,"inorganics, major, metals"
tds,NULL
bhc-gamma,"organics, pesticide"
"1,2,3-trichloropropane","organics, pesticide"
